web-scraper-order,web-scraper-start-url,featured,featured-href,recommended,recommended-href
"1523063642-9","https://www.youtube.com/user/FoxNewsChannel/videos","Is Jay-Z promoting a divisive message?","https://www.youtube.com/watch?v=7KzHrL8_mWA","Mary Jo Kopechne's cousin reacts to 'Chappaquiddick' film
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=pAxiUUCPs6Y"
"1523063683-279","https://www.youtube.com/user/FoxNewsChannel/videos","Former speechwriter: Zuckerberg should 'present with pride'","https://www.youtube.com/watch?v=RVYsMvfyxeQ","Michelle Obama: I've never had the passion for politics
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=LwfJDzbDAIE"
"1523063675-232","https://www.youtube.com/user/FoxNewsChannel/videos","Markets rattled as US-China trade tensions rise","https://www.youtube.com/watch?v=46yxmiXle7I","Why Ron Paul Sees A Major Market Correction Coming | Trading Nation | CNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=5lfK42hlab0"
"1523063654-103","https://www.youtube.com/user/FoxNewsChannel/videos","Police release image of suspected victim of Bruce McArthur","https://www.youtube.com/watch?v=AWvhgFl35-Q","Narcos, Human & Organ Trafficking: Tracking the Deep State’s Money
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=flStTCVZPso"
"1523063685-304","https://www.youtube.com/user/FoxNewsChannel/videos","China vows to retaliate if Trump adds tariffs","https://www.youtube.com/watch?v=wwsv4hJlmjc","Tom Coburn slams Congress and Trump over spending bill
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=Q3MjRHCX76A"
"1523063670-190","https://www.youtube.com/user/FoxNewsChannel/videos","Does an 'off-script' Trump help or hurt the GOP?","https://www.youtube.com/watch?v=481tTjjTczk","Ron Perlman Talks President Donald Trump Speech Patterns | AM Joy | MSNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=tHv0RExQsPQ"
"1523063680-268","https://www.youtube.com/user/FoxNewsChannel/videos","Trump to skip White House Correspondents' Dinner again","https://www.youtube.com/watch?v=u1JkLXAN4-8","Tucker takes on O'Malley on Dems refusing to protect border
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=KvpnMooNWQg"
"1523063691-353","https://www.youtube.com/user/FoxNewsChannel/videos","Is the US military facing an aviation safety crisis?","https://www.youtube.com/watch?v=prRokei1Xus","US troops clash with Syrian government forces
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=QOcnSJD1Jiw"
"1523063644-30","https://www.youtube.com/user/FoxNewsChannel/videos","Rivera: Wall has become mythical feature of Trump's agenda","https://www.youtube.com/watch?v=DOOnw7Yv9oQ","Does an 'off-script' Trump help or hurt the GOP?
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=481tTjjTczk"
"1523063683-294","https://www.youtube.com/user/FoxNewsChannel/videos","Former speechwriter: Zuckerberg should 'present with pride'","https://www.youtube.com/watch?v=RVYsMvfyxeQ","Titles and Essential Graphics Tutorial in Adobe Premiere Pro CC 2017
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=WgPC5qum4Zc"
"1523063657-121","https://www.youtube.com/user/FoxNewsChannel/videos","Surge of London murders in 2018","https://www.youtube.com/watch?v=43nh_tFcU-k","Illinois town passes an assault weapons ban
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=mD5l-Yft06Y"
"1523063709-460","https://www.youtube.com/user/FoxNewsChannel/videos","Tucker takes on O'Malley on Dems refusing to protect border","https://www.youtube.com/watch?v=KvpnMooNWQg","College professor placed on leave over ‘dead cops’ tweet
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=qiXnQQzZL1E"
"1523063683-293","https://www.youtube.com/user/FoxNewsChannel/videos","Former speechwriter: Zuckerberg should 'present with pride'","https://www.youtube.com/watch?v=RVYsMvfyxeQ","China vows to retaliate if Trump adds tariffs
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=wwsv4hJlmjc"
"1523063680-275","https://www.youtube.com/user/FoxNewsChannel/videos","Trump to skip White House Correspondents' Dinner again","https://www.youtube.com/watch?v=u1JkLXAN4-8","Narcos, Human & Organ Trafficking: Tracking the Deep State’s Money
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=flStTCVZPso"
"1523063665-160","https://www.youtube.com/user/FoxNewsChannel/videos","'The Pope's Choir' announces first-ever U.S. National tour","https://www.youtube.com/watch?v=iNGd64nt2Wk","'Parental Discretion' Official Sneak Peek | Catfish: The TV Show (Season 7) | MTV
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=lvndnTvDZ-k"
"1523063704-428","https://www.youtube.com/user/FoxNewsChannel/videos","Notable Quotables: Trade war fears and border security","https://www.youtube.com/watch?v=ILMFgu46v8g","Former CFO Now Unemployed, on Food Stamps After Viral Video
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=8LqoLBQ68Uw"
"1523063688-323","https://www.youtube.com/user/FoxNewsChannel/videos","Tom Coburn slams Congress and Trump over spending bill","https://www.youtube.com/watch?v=Q3MjRHCX76A","Montel Williams: Tom Coburn 'Disgraces' Veterans  | msnbc
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=Jp68HWyKBws"
"1523063680-264","https://www.youtube.com/user/FoxNewsChannel/videos","Trump to skip White House Correspondents' Dinner again","https://www.youtube.com/watch?v=u1JkLXAN4-8","Is this the most dangerous phase of Trump's presidency?
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=mnrnsCFEqMM"
"1523063652-65","https://www.youtube.com/user/FoxNewsChannel/videos","Conor McGregor allegdly attacks bus filled with UFC fighters","https://www.youtube.com/watch?v=6Xs0FA5M5Lc","BREAKING: The Latest Details on the Conor McGregor Bus Attack | TMZ Sports
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=nC6CH9U2NuE"
"1523063644-23","https://www.youtube.com/user/FoxNewsChannel/videos","Rivera: Wall has become mythical feature of Trump's agenda","https://www.youtube.com/watch?v=DOOnw7Yv9oQ","Titles and Essential Graphics Tutorial in Adobe Premiere Pro CC 2017
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=WgPC5qum4Zc"
"1523063693-359","https://www.youtube.com/user/FoxNewsChannel/videos","Candidates from both parties vie for Kasich seat","https://www.youtube.com/watch?v=gCyjzGH8FH4","Trump: We speak English here, not Spanish
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=eNjcAgNu1Ac"
"1523063683-287","https://www.youtube.com/user/FoxNewsChannel/videos","Former speechwriter: Zuckerberg should 'present with pride'","https://www.youtube.com/watch?v=RVYsMvfyxeQ","Tom Coburn slams Congress and Trump over spending bill
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=Q3MjRHCX76A"
"1523063673-210","https://www.youtube.com/user/FoxNewsChannel/videos","Stocks slammed by trifecta of investor concerns","https://www.youtube.com/watch?v=bEKYc61b0_E","Why Ron Paul Sees A Major Market Correction Coming | Trading Nation | CNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=5lfK42hlab0"
"1523063670-201","https://www.youtube.com/user/FoxNewsChannel/videos","Does an 'off-script' Trump help or hurt the GOP?","https://www.youtube.com/watch?v=481tTjjTczk","How to Create Animated Mattes in Adobe Premiere Pro
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=cX7ubSkvGi4"
"1523063642-6","https://www.youtube.com/user/FoxNewsChannel/videos","Is Jay-Z promoting a divisive message?","https://www.youtube.com/watch?v=7KzHrL8_mWA","#310 YOUTUBE SHOOTING COVER-UP!! Thomas Sowell and Owen Benjamin Guest | Louder With Crowder
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=d8nn-sLOu5Y"
"1523063678-250","https://www.youtube.com/user/FoxNewsChannel/videos","Trump wants up to 4,000 National Guard troops to border","https://www.youtube.com/watch?v=rqIhMd9JEdE","See How One North Korean Soldier Escaped To South Korea | TODAY
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=BzsYP0YQ9y4"
"1523063654-95","https://www.youtube.com/user/FoxNewsChannel/videos","Police release image of suspected victim of Bruce McArthur","https://www.youtube.com/watch?v=AWvhgFl35-Q","KFOR Oklahoma's News 4 Live Stream
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=LP4H1LCDHPY"
"1523063665-170","https://www.youtube.com/user/FoxNewsChannel/videos","'The Pope's Choir' announces first-ever U.S. National tour","https://www.youtube.com/watch?v=iNGd64nt2Wk","Mary Jo Kopechne's cousin reacts to 'Chappaquiddick' film
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=pAxiUUCPs6Y"
"1523063685-313","https://www.youtube.com/user/FoxNewsChannel/videos","China vows to retaliate if Trump adds tariffs","https://www.youtube.com/watch?v=wwsv4hJlmjc","How to make TEXT POP-IN screen while talking? Premiere Pro tutorial
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=7kQJifNIa1U"
"1523063685-311","https://www.youtube.com/user/FoxNewsChannel/videos","China vows to retaliate if Trump adds tariffs","https://www.youtube.com/watch?v=wwsv4hJlmjc","Is the US military facing an aviation safety crisis?
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=prRokei1Xus"
"1523063675-241","https://www.youtube.com/user/FoxNewsChannel/videos","Markets rattled as US-China trade tensions rise","https://www.youtube.com/watch?v=46yxmiXle7I","""Shattered"" tells behind-the-scenes story of Hillary Clinton's election loss
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=_DkwXuGk2x4"
"1523063691-345","https://www.youtube.com/user/FoxNewsChannel/videos","Is the US military facing an aviation safety crisis?","https://www.youtube.com/watch?v=prRokei1Xus","Mary Jo Kopechne's cousin reacts to 'Chappaquiddick' film
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=pAxiUUCPs6Y"
"1523063704-439","https://www.youtube.com/user/FoxNewsChannel/videos","Notable Quotables: Trade war fears and border security","https://www.youtube.com/watch?v=ILMFgu46v8g","President Trump signs order to strip sanctuary cities of federal funding
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=7AaMsXAru10"
"1523063657-115","https://www.youtube.com/user/FoxNewsChannel/videos","Surge of London murders in 2018","https://www.youtube.com/watch?v=43nh_tFcU-k","Sky News - Live
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=XOacA3RYrXk"
"1523063662-144","https://www.youtube.com/user/FoxNewsChannel/videos","New foam could provide better protection than tank armor","https://www.youtube.com/watch?v=8yqX7m6wJN8","Is War With China Inevitable?
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=xMFBou-g8o4"
"1523063678-259","https://www.youtube.com/user/FoxNewsChannel/videos","Trump wants up to 4,000 National Guard troops to border","https://www.youtube.com/watch?v=rqIhMd9JEdE","Trump doubles down on China tariff threat
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=kppYRQx8DA4"
"1523063657-105","https://www.youtube.com/user/FoxNewsChannel/videos","Surge of London murders in 2018","https://www.youtube.com/watch?v=43nh_tFcU-k","Six youths stabbed in 90 minutes on London streets
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=XTVa7Xra3W0"
"1523063701-414","https://www.youtube.com/user/FoxNewsChannel/videos","Whatever happened to expanding US exploration for oil, gas?","https://www.youtube.com/watch?v=piJPOpFhIm0","Vacation Nightmare: Sun, Sand, Prostitutes? | ABC World News Tonight | ABC News
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=FthM86dsWYc"
"1523063701-408","https://www.youtube.com/user/FoxNewsChannel/videos","Whatever happened to expanding US exploration for oil, gas?","https://www.youtube.com/watch?v=piJPOpFhIm0","9 Things That COULD Happen if Trump Builds ""The Wall""!
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=UdUIXvwuwto"
"1523063706-445","https://www.youtube.com/user/FoxNewsChannel/videos","Trump doubles down on China tariff threat","https://www.youtube.com/watch?v=kppYRQx8DA4","Streets by VICE: San Francisco (Market St.)
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=TZzJbEklD5I"
"1523063662-146","https://www.youtube.com/user/FoxNewsChannel/videos","New foam could provide better protection than tank armor","https://www.youtube.com/watch?v=8yqX7m6wJN8","10 Hidden Details The Secret Service Doesn't Want You To Know
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=ZvXgHiS9-zQ"
"1523063649-50","https://www.youtube.com/user/FoxNewsChannel/videos","Watch Walmart kid: 11-year-old yodeling sensation","https://www.youtube.com/watch?v=Yn6AU-lLjSw","""Walmart Yodel Boy"" Meme Is BLOWING UP the Internet
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=3iy-BPksO1g"
"1523063670-199","https://www.youtube.com/user/FoxNewsChannel/videos","Does an 'off-script' Trump help or hurt the GOP?","https://www.youtube.com/watch?v=481tTjjTczk","Tucker takes on O'Malley on Dems refusing to protect border
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=KvpnMooNWQg"
"1523063660-135","https://www.youtube.com/user/FoxNewsChannel/videos","WILD video: Fierce battle between a bobcat and rattlesnake","https://www.youtube.com/watch?v=1FdvZjFa5pM","10 Roads You Would Never Want to Drive On
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=ym4uVS-5tSA"
"1523063691-343","https://www.youtube.com/user/FoxNewsChannel/videos","Is the US military facing an aviation safety crisis?","https://www.youtube.com/watch?v=prRokei1Xus","Adding a Color Matte to a Premiere Sequence
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=PC8GZLi7d7o"
"1523063673-206","https://www.youtube.com/user/FoxNewsChannel/videos","Stocks slammed by trifecta of investor concerns","https://www.youtube.com/watch?v=bEKYc61b0_E","Bitcoin ‘Worthless’ & Will Perform Worse Than Stocks In The Coming Months: Capital Economics | CNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=01gELrYvwlM"
"1523063642-1","https://www.youtube.com/user/FoxNewsChannel/videos","Is Jay-Z promoting a divisive message?","https://www.youtube.com/watch?v=7KzHrL8_mWA","3 memorable moments from Jay-Z's interview with David Letterman
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=_zfD4jvbxS8"
"1523063701-419","https://www.youtube.com/user/FoxNewsChannel/videos","Whatever happened to expanding US exploration for oil, gas?","https://www.youtube.com/watch?v=piJPOpFhIm0","How highways wrecked American cities
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=odF4GSX1y3c"
"1523063657-116","https://www.youtube.com/user/FoxNewsChannel/videos","Surge of London murders in 2018","https://www.youtube.com/watch?v=43nh_tFcU-k","🇮🇹  OG GUIDO Sizzle Reel Cast Reactions | Jersey Shore: Family Vacation | MTV
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=zopTkefjBFI"
"1523063652-72","https://www.youtube.com/user/FoxNewsChannel/videos","Conor McGregor allegdly attacks bus filled with UFC fighters","https://www.youtube.com/watch?v=6Xs0FA5M5Lc","Conor McGregor's Most Savage Moments
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=7R8fE6Vhmsw"
"1523063673-214","https://www.youtube.com/user/FoxNewsChannel/videos","Stocks slammed by trifecta of investor concerns","https://www.youtube.com/watch?v=bEKYc61b0_E","""Shattered"" tells behind-the-scenes story of Hillary Clinton's election loss
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=_DkwXuGk2x4"
"1523063670-200","https://www.youtube.com/user/FoxNewsChannel/videos","Does an 'off-script' Trump help or hurt the GOP?","https://www.youtube.com/watch?v=481tTjjTczk","Trump proposes another $100 billion in China tariffs
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=3X7RaD_0zzo"
"1523063701-418","https://www.youtube.com/user/FoxNewsChannel/videos","Whatever happened to expanding US exploration for oil, gas?","https://www.youtube.com/watch?v=piJPOpFhIm0","The Dirty Secret at the Bottom of the Great Lakes: Oil & Water
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=ic9NcKtEPGs"
"1523063675-227","https://www.youtube.com/user/FoxNewsChannel/videos","Markets rattled as US-China trade tensions rise","https://www.youtube.com/watch?v=46yxmiXle7I","Trump, White House Defend Action on China Trade
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=-lFJXZ140dc"
"1523063652-67","https://www.youtube.com/user/FoxNewsChannel/videos","Conor McGregor allegdly attacks bus filled with UFC fighters","https://www.youtube.com/watch?v=6Xs0FA5M5Lc","UFC 223 Free Fight: Khabib Nurmagomedov vs Michael Johnson
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=OwZ9Qa4PXJI"
"1523063642-5","https://www.youtube.com/user/FoxNewsChannel/videos","Is Jay-Z promoting a divisive message?","https://www.youtube.com/watch?v=7KzHrL8_mWA","Jay Z Responds To Pundit Tomi Lahren On 'Drug Dealers Anonymous'
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=74UKK_N0tEQ"
"1523063657-122","https://www.youtube.com/user/FoxNewsChannel/videos","Surge of London murders in 2018","https://www.youtube.com/watch?v=43nh_tFcU-k","Pensioner arrested in London after suspected burglar dies
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=C1nsKIZUEaM"
"1523063649-62","https://www.youtube.com/user/FoxNewsChannel/videos","Watch Walmart kid: 11-year-old yodeling sensation","https://www.youtube.com/watch?v=Yn6AU-lLjSw","Famous Child Celebs You Would NEVER Recognize Today
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=-rQXX3Gxytg"
"1523063701-403","https://www.youtube.com/user/FoxNewsChannel/videos","Whatever happened to expanding US exploration for oil, gas?","https://www.youtube.com/watch?v=piJPOpFhIm0","Notable Quotables: Trade war fears and border security
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=ILMFgu46v8g"
"1523063654-96","https://www.youtube.com/user/FoxNewsChannel/videos","Police release image of suspected victim of Bruce McArthur","https://www.youtube.com/watch?v=AWvhgFl35-Q","Jimmy Kimmel Responds to Sean Hannity’s Vicious Attacks
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=9mpwlkc2a5s"
"1523063670-196","https://www.youtube.com/user/FoxNewsChannel/videos","Does an 'off-script' Trump help or hurt the GOP?","https://www.youtube.com/watch?v=481tTjjTczk","Michael Avenatti Reacts To Mueller/Cohen News, Trump's Stormy Comments | The Last Word | MSNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=xukWkOv4a-w"
"1523063699-392","https://www.youtube.com/user/FoxNewsChannel/videos","Mary Jo Kopechne's cousin reacts to 'Chappaquiddick' film","https://www.youtube.com/watch?v=pAxiUUCPs6Y","How to make TEXT POP-IN screen while talking? Premiere Pro tutorial
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=7kQJifNIa1U"
"1523063680-261","https://www.youtube.com/user/FoxNewsChannel/videos","Trump to skip White House Correspondents' Dinner again","https://www.youtube.com/watch?v=u1JkLXAN4-8","Fact Check: President Trump's claims against Amazon
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=hZOdkVKavng"
"1523063673-209","https://www.youtube.com/user/FoxNewsChannel/videos","Stocks slammed by trifecta of investor concerns","https://www.youtube.com/watch?v=bEKYc61b0_E","Fund Manager David Tice On Why The Stock Market Is Going To ‘Suck’ | Trading Nation | CNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=zqaXXv06FVo"
"1523063644-28","https://www.youtube.com/user/FoxNewsChannel/videos","Rivera: Wall has become mythical feature of Trump's agenda","https://www.youtube.com/watch?v=DOOnw7Yv9oQ","Hollywood liberals slam 'Roseanne' reboot
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=1jIDvwlF6m0"
