web-scraper-order,web-scraper-start-url,featured,featured-href,recommended,recommended-href
"1523060488-602","https://www.youtube.com/user/TheYoungTurks/videos","Judge Rules Mass Shooter Fanboy OK To Buy Guns","https://www.youtube.com/watch?v=Gr0KVzcIqVM","Trump Deploying Military To Mexican Border Because He Saw It On Fox News
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=LQI2YInFMAk"
"1523060545-1059","https://www.youtube.com/user/TheYoungTurks/videos","EXPOSED: Billionaire Bigots Spreading Anti-Muslim Propaganda","https://www.youtube.com/watch?v=6kaoC2eP6Vc","The Truth About Social Media
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=PgwluZdJwpo"
"1523060483-560","https://www.youtube.com/user/TheYoungTurks/videos","Can These Super Strong Progressives Really Beat the Top Politicians in the Country?","https://www.youtube.com/watch?v=AQZFB0mD6OA","By Denying Porn Star Payment, Donald Trump May Ruin His Own NDA | The Beat With Ari Melber | MSNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=Zg6NHtJEu3Y"
"1523060516-808","https://www.youtube.com/user/TheYoungTurks/videos","New Details Emerge On Youtube Shooter's Motives","https://www.youtube.com/watch?v=X_9LCZPLhrU","Channel Awesome Document Reading | Down the Rabbit Hole Livestream
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=2yIjg17A6Oo"
"1523060548-1074","https://www.youtube.com/user/TheYoungTurks/videos","Rep. Blake Farenthold Resigns Amid Sexual Harassment Scandal","https://www.youtube.com/watch?v=9e4B1AbMOko","🇮🇹  OG GUIDO Sizzle Reel Cast Reactions | Jersey Shore: Family Vacation | MTV
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=zopTkefjBFI"
"1523060511-774","https://www.youtube.com/user/TheYoungTurks/videos","How Close Is America To Realizing MLK's Dream?","https://www.youtube.com/watch?v=0x76GbrZGjg","MLK Talks 'New Phase' Of Civil Rights Struggle, 11 Months Before His Assassination | NBC News
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=2xsbt3a7K-8"
"1523060535-978","https://www.youtube.com/user/TheYoungTurks/videos","Tucker Carlson: What About Toxic Femininity Though?","https://www.youtube.com/watch?v=HbiV3qujCtc","Michael Avenatti Reacts To Mueller/Cohen News, Trump's Stormy Comments | The Last Word | MSNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=xukWkOv4a-w"
"1523060501-697","https://www.youtube.com/user/TheYoungTurks/videos","Alison Hartson Ad EXPOSES Dianne Feinstein","https://www.youtube.com/watch?v=mfUQjmQ8Ck0","#1 Trump Leaker EXPOSED
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=6WVNtQB5FPs"
"1523060488-600","https://www.youtube.com/user/TheYoungTurks/videos","Judge Rules Mass Shooter Fanboy OK To Buy Guns","https://www.youtube.com/watch?v=Gr0KVzcIqVM","Fortnite Guns In Real Life!
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=S1cSA21DSU8"
"1523060523-883","https://www.youtube.com/user/TheYoungTurks/videos","The Most Horrifying Artificial Insemination Story EVER","https://www.youtube.com/watch?v=xjQ9D9uCPjw","How To Create a Clean Cinematic Title Animation in Premiere Pro (Tutorial)
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=0ZcyLet8h_4"
"1523060516-806","https://www.youtube.com/user/TheYoungTurks/videos","New Details Emerge On Youtube Shooter's Motives","https://www.youtube.com/watch?v=X_9LCZPLhrU","Joe Rogan on the YouTube Shooter
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=3gZQOJxptyc"
"1523060545-1051","https://www.youtube.com/user/TheYoungTurks/videos","EXPOSED: Billionaire Bigots Spreading Anti-Muslim Propaganda","https://www.youtube.com/watch?v=6kaoC2eP6Vc","How to make animated LOWER THIRDS titles in Adobe Premiere Pro (CC 2017 Tutorial) (No After Effects)
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=OMp7HrAtRXc"
"1523060501-688","https://www.youtube.com/user/TheYoungTurks/videos","Alison Hartson Ad EXPOSES Dianne Feinstein","https://www.youtube.com/watch?v=mfUQjmQ8Ck0","Establishment's PATHETIC Attack On Bernie Sanders
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=_CK_z0UhaQk"
"1523060493-643","https://www.youtube.com/user/TheYoungTurks/videos","White Supremacy World With Tucker Carlson","https://www.youtube.com/watch?v=0m6Xz6s0EdI","Racist Heckler Interrupts Jagmeet Singh Town Hall
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=xGp3FflT3mM"
"1523060508-755","https://www.youtube.com/user/TheYoungTurks/videos","What MLK Was Working On Before His Death","https://www.youtube.com/watch?v=tD6RzBeicKI","Adding a Color Matte to a Premiere Sequence
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=PC8GZLi7d7o"
"1523060480-543","https://www.youtube.com/user/TheYoungTurks/videos","Kushner Bragged About Sinclair Deal For Pro-Trump Coverage","https://www.youtube.com/watch?v=tzF1X57oTX8","How to make animated LOWER THIRDS titles in Adobe Premiere Pro (CC 2017 Tutorial) (No After Effects)
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=OMp7HrAtRXc"
"1523060488-604","https://www.youtube.com/user/TheYoungTurks/videos","Judge Rules Mass Shooter Fanboy OK To Buy Guns","https://www.youtube.com/watch?v=Gr0KVzcIqVM","Sinclair Issues Employee Gag Order After Trump Propaganda Scandal
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=KNdFBDz0B3g"
"1523060545-1062","https://www.youtube.com/user/TheYoungTurks/videos","EXPOSED: Billionaire Bigots Spreading Anti-Muslim Propaganda","https://www.youtube.com/watch?v=6kaoC2eP6Vc","ANA Hilariously MOCKS Scott Pruitt Fox News interview: ‘He made Betsy DeVos Look Like Einstein’
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=UifKZH2fxM8"
"1523060496-647","https://www.youtube.com/user/TheYoungTurks/videos","DEA Arrests Pill-Pushing Pharmacists","https://www.youtube.com/watch?v=pMiqlgdcpb0","A community overwhelmed by opioids
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=w67IDMY2tn8"
"1523060503-709","https://www.youtube.com/user/TheYoungTurks/videos","Suddenly Progressive Andrew Cuomo Ends The IDC","https://www.youtube.com/watch?v=4weigc8taMI","Democrat Wins In Latest Sign Of Anti-Trump Blue Wave
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=YqUmE7U-lNE"
"1523060535-984","https://www.youtube.com/user/TheYoungTurks/videos","Tucker Carlson: What About Toxic Femininity Though?","https://www.youtube.com/watch?v=HbiV3qujCtc","Joe Rogan on Cenk Uygur & The Young Turks
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=RmhGsMkqJJ4"
"1523060525-891","https://www.youtube.com/user/TheYoungTurks/videos","Why Christians Wouldn’t Care If Trump Paid For Abortions","https://www.youtube.com/watch?v=2AbX8KNVOKI","Outgoing NSA McMaster Blasts President Donald Trump's Inaction On Russia | Hardball | MSNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=Fg0Ku7_V-94"
"1523060535-966","https://www.youtube.com/user/TheYoungTurks/videos","Tucker Carlson: What About Toxic Femininity Though?","https://www.youtube.com/watch?v=HbiV3qujCtc","Ted Cruz Gets Owned By EPIC Question
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=f8enlSLorhM"
"1523060523-878","https://www.youtube.com/user/TheYoungTurks/videos","The Most Horrifying Artificial Insemination Story EVER","https://www.youtube.com/watch?v=xjQ9D9uCPjw","How to Create Animated Mattes in Adobe Premiere Pro
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=cX7ubSkvGi4"
"1523060548-1079","https://www.youtube.com/user/TheYoungTurks/videos","Rep. Blake Farenthold Resigns Amid Sexual Harassment Scandal","https://www.youtube.com/watch?v=9e4B1AbMOko","Trump Traveling to Peru, Female Indiana Jones - Monologue
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=JhkR1KoECdY"
"1523060533-964","https://www.youtube.com/user/TheYoungTurks/videos","Alex Jones Blames YouTube Shooting On YouTube","https://www.youtube.com/watch?v=wWn0YFBo-og","11 Times Donald Trump Sounded A Lot Like Alex Jones
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=MzIOidaeFC0"
"1523060506-731","https://www.youtube.com/user/TheYoungTurks/videos","Alexandria Ocasio-Cortez Takes On Corporate Democrat Joe Crowley","https://www.youtube.com/watch?v=ORkJDZLIIKs","Adding a Color Matte to a Premiere Sequence
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=PC8GZLi7d7o"
"1523060531-927","https://www.youtube.com/user/TheYoungTurks/videos","Scott Pruitt ANNIHILATED By... Fox News???","https://www.youtube.com/watch?v=Py_SZt9el_E","Jimmy Kimmel Responds to Sean Hannity’s Vicious Attacks
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=9mpwlkc2a5s"
"1523060516-815","https://www.youtube.com/user/TheYoungTurks/videos","New Details Emerge On Youtube Shooter's Motives","https://www.youtube.com/watch?v=X_9LCZPLhrU","Student voter panel spars over gun control
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=NznMbYuaf9Q"
"1523060538-1001","https://www.youtube.com/user/TheYoungTurks/videos","Ted Cruz Gets Owned By EPIC Question","https://www.youtube.com/watch?v=f8enlSLorhM","Michael Avenatti Reacts To Mueller/Cohen News, Trump's Stormy Comments | The Last Word | MSNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=xukWkOv4a-w"
"1523060503-718","https://www.youtube.com/user/TheYoungTurks/videos","Suddenly Progressive Andrew Cuomo Ends The IDC","https://www.youtube.com/watch?v=4weigc8taMI","How to make animated LOWER THIRDS titles in Adobe Premiere Pro (CC 2017 Tutorial) (No After Effects)
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=OMp7HrAtRXc"
"1523060540-1009","https://www.youtube.com/user/TheYoungTurks/videos","Establishment's PATHETIC Attack On Bernie Sanders","https://www.youtube.com/watch?v=_CK_z0UhaQk","John Cena's Epic Response to Dwayne Johnson's Threat
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=yN0O8UaTnRA"
"1523060516-820","https://www.youtube.com/user/TheYoungTurks/videos","New Details Emerge On Youtube Shooter's Motives","https://www.youtube.com/watch?v=X_9LCZPLhrU","New details on alleged YouTube shooter
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=jYB8lZny6q8"
"1523060538-997","https://www.youtube.com/user/TheYoungTurks/videos","Ted Cruz Gets Owned By EPIC Question","https://www.youtube.com/watch?v=f8enlSLorhM","How to Create Animated Mattes in Adobe Premiere Pro
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=cX7ubSkvGi4"
"1523060478-516","https://www.youtube.com/user/TheYoungTurks/videos","Howard Kurtz Scolds Reporter For Insufficient Politeness To Trump","https://www.youtube.com/watch?v=xqP6iwHlMu0","Acosta to Scaramucci: Did Trump have affair with porn star?
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=ZCGQ2_sfVik"
"1523060528-915","https://www.youtube.com/user/TheYoungTurks/videos","CORRECTION: Pulse Shooter Wasn't Gay, Just Regular Terrorist","https://www.youtube.com/watch?v=vFCAFZGsGYs","China's trillion dollar plan to dominate global trade
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=EvXROXiIpvQ"
"1523060545-1047","https://www.youtube.com/user/TheYoungTurks/videos","EXPOSED: Billionaire Bigots Spreading Anti-Muslim Propaganda","https://www.youtube.com/watch?v=6kaoC2eP6Vc","Top 100 Viral Videos of the Year 2017
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=cWiPROxS2HA"
"1523060535-968","https://www.youtube.com/user/TheYoungTurks/videos","Tucker Carlson: What About Toxic Femininity Though?","https://www.youtube.com/watch?v=HbiV3qujCtc","Kyle Breaking Down His Fox News Appearance
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=-VD7_j8KY3w"
"1523060531-945","https://www.youtube.com/user/TheYoungTurks/videos","Scott Pruitt ANNIHILATED By... Fox News???","https://www.youtube.com/watch?v=Py_SZt9el_E","How to Create Animated Mattes in Adobe Premiere Pro
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=cX7ubSkvGi4"
"1523060540-1013","https://www.youtube.com/user/TheYoungTurks/videos","Establishment's PATHETIC Attack On Bernie Sanders","https://www.youtube.com/watch?v=_CK_z0UhaQk","How to make animated LOWER THIRDS titles in Adobe Premiere Pro (CC 2017 Tutorial) (No After Effects)
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=OMp7HrAtRXc"
"1523060506-737","https://www.youtube.com/user/TheYoungTurks/videos","Alexandria Ocasio-Cortez Takes On Corporate Democrat Joe Crowley","https://www.youtube.com/watch?v=ORkJDZLIIKs","By Denying Porn Star Payment, Donald Trump May Ruin His Own NDA | The Beat With Ari Melber | MSNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=Zg6NHtJEu3Y"
"1523060501-703","https://www.youtube.com/user/TheYoungTurks/videos","Alison Hartson Ad EXPOSES Dianne Feinstein","https://www.youtube.com/watch?v=mfUQjmQ8Ck0","Why Is Trump Firing The VA Secretary?
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=R2KYF8DmFQw"
"1523060545-1058","https://www.youtube.com/user/TheYoungTurks/videos","EXPOSED: Billionaire Bigots Spreading Anti-Muslim Propaganda","https://www.youtube.com/watch?v=6kaoC2eP6Vc","Michael Avenatti Reacts To Mueller/Cohen News, Trump's Stormy Comments | The Last Word | MSNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=xukWkOv4a-w"
"1523060508-757","https://www.youtube.com/user/TheYoungTurks/videos","What MLK Was Working On Before His Death","https://www.youtube.com/watch?v=tD6RzBeicKI","🇮🇹  OG GUIDO Sizzle Reel Cast Reactions | Jersey Shore: Family Vacation | MTV
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=zopTkefjBFI"
"1523060531-939","https://www.youtube.com/user/TheYoungTurks/videos","Scott Pruitt ANNIHILATED By... Fox News???","https://www.youtube.com/watch?v=Py_SZt9el_E","Trump breaks his silence on Stormy Daniels
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=-0QvjiG4sYM"
"1523060535-974","https://www.youtube.com/user/TheYoungTurks/videos","Tucker Carlson: What About Toxic Femininity Though?","https://www.youtube.com/watch?v=HbiV3qujCtc","Carl Icahn Role Shows Common Thread In Scott Pruitt Ethics, Policy Scandals | Rachel Maddow | MSNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=tA1EbehbXaY"
"1523060493-635","https://www.youtube.com/user/TheYoungTurks/videos","White Supremacy World With Tucker Carlson","https://www.youtube.com/watch?v=0m6Xz6s0EdI","Steyn's take: Immigration caravan and 'offensive' statues
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=NyRJBEjHkL0"
"1523060493-633","https://www.youtube.com/user/TheYoungTurks/videos","White Supremacy World With Tucker Carlson","https://www.youtube.com/watch?v=0m6Xz6s0EdI","How to make animated LOWER THIRDS titles in Adobe Premiere Pro (CC 2017 Tutorial) (No After Effects)
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=OMp7HrAtRXc"
"1523060538-1003","https://www.youtube.com/user/TheYoungTurks/videos","Ted Cruz Gets Owned By EPIC Question","https://www.youtube.com/watch?v=f8enlSLorhM","Trump Breaks Silence on Stormy Daniels as Russia Probe Heats Up: A Closer Look
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=iaoD6pfFuTo"
"1523060523-872","https://www.youtube.com/user/TheYoungTurks/videos","The Most Horrifying Artificial Insemination Story EVER","https://www.youtube.com/watch?v=xjQ9D9uCPjw","TOP 10 WANNABE TOUGH GUYS WHO CRIED LIKE BABIES IN COURT
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=n8bK3QMsFKs"
"1523060496-652","https://www.youtube.com/user/TheYoungTurks/videos","DEA Arrests Pill-Pushing Pharmacists","https://www.youtube.com/watch?v=pMiqlgdcpb0","Top 10 Serious News YouTube Channels - TopX Ep. 5
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=HB6Hv3hMPiI"
"1523060478-519","https://www.youtube.com/user/TheYoungTurks/videos","Howard Kurtz Scolds Reporter For Insufficient Politeness To Trump","https://www.youtube.com/watch?v=xqP6iwHlMu0","Fox's Ingraham takes vacation in wake of ad boycott
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=ZIawUK3tjtA"
"1523060511-769","https://www.youtube.com/user/TheYoungTurks/videos","How Close Is America To Realizing MLK's Dream?","https://www.youtube.com/watch?v=0x76GbrZGjg","Adding a Color Matte to a Premiere Sequence
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=PC8GZLi7d7o"
"1523060528-911","https://www.youtube.com/user/TheYoungTurks/videos","CORRECTION: Pulse Shooter Wasn't Gay, Just Regular Terrorist","https://www.youtube.com/watch?v=vFCAFZGsGYs","How to make animated LOWER THIRDS titles in Adobe Premiere Pro (CC 2017 Tutorial) (No After Effects)
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=OMp7HrAtRXc"
"1523060543-1036","https://www.youtube.com/user/TheYoungTurks/videos","Sinclair Gets Creative On How They Screw You Over","https://www.youtube.com/watch?v=cdzaxoGrd0k","'An Embarrassing Moment For Journalism' | Morning Joe | MSNBC
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=EzcqA7hej7g"
"1523060490-606","https://www.youtube.com/user/TheYoungTurks/videos","Shooting at YouTube HQ","https://www.youtube.com/watch?v=p1CjWuWQPNA","YouTube shooter's videos reveal anger at company
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=_OkhHUXWNJA"
"1523060483-551","https://www.youtube.com/user/TheYoungTurks/videos","Can These Super Strong Progressives Really Beat the Top Politicians in the Country?","https://www.youtube.com/watch?v=AQZFB0mD6OA","How To Create a Clean Cinematic Title Animation in Premiere Pro (Tutorial)
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=0ZcyLet8h_4"
"1523060523-866","https://www.youtube.com/user/TheYoungTurks/videos","The Most Horrifying Artificial Insemination Story EVER","https://www.youtube.com/watch?v=xjQ9D9uCPjw","Oklahoma Teachers Show You Exactly Why They're Walking Out
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=y98i2MgNzus"
"1523060503-707","https://www.youtube.com/user/TheYoungTurks/videos","Suddenly Progressive Andrew Cuomo Ends The IDC","https://www.youtube.com/watch?v=4weigc8taMI","Channel Awesome Document Reading | Down the Rabbit Hole Livestream
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=2yIjg17A6Oo"
"1523060501-686","https://www.youtube.com/user/TheYoungTurks/videos","Alison Hartson Ad EXPOSES Dianne Feinstein","https://www.youtube.com/watch?v=mfUQjmQ8Ck0","Democrat Wins In Latest Sign Of Anti-Trump Blue Wave
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=YqUmE7U-lNE"
"1523060540-1025","https://www.youtube.com/user/TheYoungTurks/videos","Establishment's PATHETIC Attack On Bernie Sanders","https://www.youtube.com/watch?v=_CK_z0UhaQk","Senator Bernie Sanders on Debating Trump
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=7KAXrZqGZ0I"
"1523060496-657","https://www.youtube.com/user/TheYoungTurks/videos","DEA Arrests Pill-Pushing Pharmacists","https://www.youtube.com/watch?v=pMiqlgdcpb0","MAGA Snowflakes Threaten To Burn Down Bookstore
          
        
        
    
    
    
    
      
        
          
          
          
        
        •","https://www.youtube.com/watch?v=EQaZdvmUPts"
